Movie Name,Released Date,Genre,MPAA Rating,Year Gross,Tickets Sold
Heavy Weights,"Feb 17, 1995",Comedy,PG,"$17,671,310","4,062,370"
It Takes Two,"Nov 17, 1995",Comedy,PG,"$17,468,169","4,015,671"
Murder in the First,"Jan 20, 1995",Drama,R,"$17,300,238","3,977,066"
Jury Duty,"Apr 12, 1995",Comedy,PG-13,"$16,941,552","3,894,609"
The Prophecy,"Sep 1, 1995",Horror,R,"$16,091,660","3,699,232"
Mad Love,"May 26, 1995",Drama,PG-13,"$15,446,532","3,550,926"
Muriel’s Wedding,"Mar 10, 1995",Comedy,R,"$15,185,000","3,490,804"
Halloween: The Curse of Mic…,"Sep 29, 1995",Horror,R,"$15,126,948","3,477,459"
Ri¢hie Ri¢h,"Dec 21, 1994",Comedy,PG,"$14,709,190","3,381,422"
Candyman: Farewell to Flesh,"Mar 17, 1995",Horror,R,"$13,916,665","3,199,233"
Highlander: The Final Dimen…,"Jan 27, 1995",Action,PG-13,"$13,738,574","3,158,292"
Sudden Death,"Dec 22, 1995",Action,R,"$13,467,140","3,095,894"
Lord of Illusions,"Aug 25, 1995",Horror,R,"$13,249,614","3,045,888"
I.Q.,"Dec 25, 1994",Romantic Comedy,PG,"$13,201,318","3,034,785"
The Lion King,"Jun 15, 1994",Adventure,G,"$12,472,984","2,867,352"
Bye Bye Love,"Mar 17, 1995",Romantic Comedy,PG-13,"$12,073,560","2,775,531"
Tales from the Hood,"May 24, 1995",Horror,R,"$11,784,569","2,709,096"
Far from Home: The Adventur…,"Jan 13, 1995",Adventure,PG,"$11,380,788","2,616,273"
My Family,"May 3, 1995",Drama,R,"$11,079,373","2,546,982"
The Englishman Who Went Up …,"May 12, 1995",Comedy,PG,"$10,904,930","2,506,880"
The Brothers McMullen,"Aug 9, 1995",Drama,R,"$10,426,506","2,396,897"
Jade,"Oct 13, 1995",Thriller/Suspense,R,"$9,812,870","2,255,832"
Il Postino,"Jun 14, 1995",Drama,PG,"$9,026,521","2,075,062"
In the Mouth of Madness,"Feb 3, 1995",Horror,R,"$8,924,549","2,051,620"
Smoke,"Jun 9, 1995",Drama,R,"$8,353,284","1,920,295"
Dracula: Dead and Loving It,"Dec 22, 1995",Comedy,PG-13,"$8,302,858","1,908,702"
Tall Tale,"Mar 24, 1995",Western,PG,"$8,247,627","1,896,006"
Strange Days,"Oct 6, 1995",Thriller/Suspense,R,"$7,918,562","1,820,359"
Nick of Time,"Nov 22, 1995",Thriller/Suspense,R,"$7,914,560","1,819,439"
The Amazing Panda Adventure,"Aug 25, 1995",Adventure,PG,"$7,590,169","1,744,866"
The Jerky Boys,"Feb 3, 1995",Comedy,R,"$7,555,256","1,736,840"
Hackers,"Sep 15, 1995",Thriller/Suspense,PG-13,"$7,487,370","1,721,234"
Kids,"Jul 21, 1995",Drama,Not Rated,"$7,412,216","1,703,957"
Cutthroat Island,"Dec 22, 1995",Adventure,PG-13,"$7,399,785","1,701,100"
Bushwhacked,"Aug 4, 1995",Comedy,PG-13,"$7,377,107","1,695,886"
Three Wishes,"Oct 27, 1995",Drama,PG,"$7,025,496","1,615,056"
Last of the Dogmen,"Sep 8, 1995",Western,PG,"$7,008,542","1,611,159"
The Santa Clause,"Nov 11, 1994",Adventure,PG,"$7,007,259","1,610,864"
Never Talk to Strangers,"Oct 20, 1995",Thriller/Suspense,R,"$6,849,998","1,574,712"
Balto,"Dec 22, 1995",Adventure,G,"$6,646,130","1,527,845"
The Hunted,"Feb 24, 1995",Action,R,"$6,420,615","1,476,003"
The Walking Dead,"Feb 24, 1995",Drama,R,"$6,014,340","1,382,606"
Junior,"Nov 23, 1994",Comedy,PG-13,"$5,911,390","1,358,940"
The Tie That Binds,"Sep 8, 1995",Thriller/Suspense,R,"$5,762,795","1,324,780"
Gold Diggers: The Secret of…,"Nov 3, 1995",Adventure,PG,"$5,691,405","1,308,368"
Beyond Rangoon,"Aug 25, 1995",Drama,R,"$5,656,641","1,300,377"
Drop Zone,"Dec 9, 1994",Action,R,"$5,465,044","1,256,331"
Speechless,"Dec 16, 1994",Romantic Comedy,PG-13,"$5,361,348","1,232,493"
Before Sunrise,"Jan 27, 1995",Drama,R,"$5,274,005","1,212,414"
Miami Rhapsody,"Jan 27, 1995",Romantic Comedy,PG-13,"$5,086,578","1,169,328"
Mighty Aphrodite,"Oct 27, 1995",Comedy,R,"$5,052,044","1,161,389"
Top Dog,"Apr 28, 1995",Action,PG-13,"$4,992,085","1,147,605"
National Lampoon's Senior Trip,"Sep 8, 1995",Comedy,R,"$4,686,937","1,077,456"
Bullets Over Broadway,"Oct 21, 1994",Comedy,R,"$4,597,373","1,056,867"
Wings of Courage,"Apr 21, 1995",Drama,G,"$4,570,769","1,050,751"
Prêt-à-Porter,"Dec 25, 1994",Comedy,R,"$4,469,411","1,027,450"
Priest,"Mar 24, 1995",Drama,R,"$4,165,845","957,665"
Gordy,"May 12, 1995",Adventure,G,"$3,941,146","906,010"
The Pebble and the Penguin,"Apr 12, 1995",Adventure,G,"$3,939,728","905,684"
Born to be Wild,"Mar 31, 1995",Adventure,PG,"$3,730,409","857,565"
White Man's Burden,"Dec 1, 1995",Drama,R,"$3,622,433","832,743"
New Jersey Drive,"Apr 19, 1995",Drama,R,"$3,540,207","813,840"
Bad Company,"Jan 20, 1995",Thriller/Suspense,R,"$3,523,909","810,094"
Exotica,"Mar 3, 1995",Drama,R,"$3,504,510","805,634"
The Glass Shield,"Jun 2, 1995",Drama,PG-13,"$3,270,822","751,913"
The Last Seduction,"Oct 26, 1994",Thriller/Suspense,R,"$3,172,270","729,257"
"Steal Big, Steal Little","Sep 29, 1995",Comedy,PG-13,"$3,150,170","724,177"
Shallow Grave,"Feb 10, 1995",Black Comedy,R,"$2,834,250","651,551"
Dr. Jekyll and Ms. Hyde,"Aug 25, 1995",Comedy,PG-13,"$2,739,002","629,655"
Stargate,"Oct 28, 1994",Adventure,PG-13,"$2,701,752","621,092"
Four Rooms,"Dec 25, 1995",Black Comedy,R,"$2,603,844","598,584"
Magic in the Water,"Aug 30, 1995",Adventure,PG,"$2,535,916","582,969"
The Cure,"Apr 21, 1995",Drama,PG-13,"$2,513,250","577,758"
Blue Sky,"Sep 16, 1994",Drama,PG-13,"$2,471,351","568,126"
Trois couleurs: Rouge,"Nov 23, 1994",Drama,R,"$2,359,574","542,430"
Utomlyonnye solntsem,"Apr 21, 1995",Drama,R,"$2,302,338","529,273"
The Incredibly True Adventu…,"Jun 16, 1995",Drama,R,"$2,210,408","508,139"
Mallrats,"Oct 20, 1995",Comedy,R,"$2,108,367","484,682"
A Low Down Dirty Shame,"Nov 23, 1994",Action,R,"$1,980,559","455,300"
Fresa y chocolate,"Jan 20, 1995",Comedy,R,"$1,918,424","441,017"
Blue in the Face,"Oct 13, 1995",Drama,R,"$1,275,000","293,103"
Picture Bride,"Apr 28, 1995",Drama,PG-13,"$1,238,905","284,805"
Léon,"Nov 18, 1994",Thriller/Suspense,R,"$1,231,340","283,066"
Across The Sea of Time,"Oct 20, 1995",Adventure,G,"$1,221,528","280,811"
Destiny Turns on the Radio,"Apr 28, 1995",Comedy,R,"$1,173,149","269,689"
Mute Witness,"Sep 15, 1995",Thriller/Suspense,R,"$1,125,910","258,829"
Living in Oblivion,"Jul 14, 1995",Comedy,R,"$1,111,790","255,583"
Little Odessa,"May 19, 1995",Drama,R,"$1,095,885","251,927"
The River Wild,"Sep 30, 1994",Thriller/Suspense,PG-13,"$1,082,410","248,829"
Separate Lives,"Sep 8, 1995",Thriller/Suspense,R,"$961,147","220,953"
When Night is Falling,"Nov 17, 1995",Drama,R,"$879,516","202,187"
Wes Craven's New Nightmare,"Oct 14, 1994",Horror,R,"$869,118","199,797"
The Crossing Guard,"Nov 15, 1995",Drama,R,"$847,704","194,874"
Mrs. Parker and the Vicious…,"Nov 23, 1994",Drama,R,"$802,544","184,492"
Les roseaux sauvages,"Apr 28, 1995",Drama,Not Rated,"$759,196","174,527"
Amateur,"Apr 7, 1995",Drama,R,"$757,088","174,043"
Kicking and Screaming,"Oct 6, 1995",Drama,R,"$718,490","165,170"
The Thief and the Cobbler,"Aug 25, 1995",Adventure,G,"$669,276","153,856"
Mixed Nuts,"Dec 21, 1994",Black Comedy,PG-13,"$664,788","152,824"
The Swan Princess,"Nov 18, 1994",Romantic Comedy,G,"$642,192","147,630"
Les Misérables,"Oct 20, 1995",Drama,R,"$620,498","142,643"
Double Happiness,"Jul 28, 1995",Comedy,PG-13,"$560,491","128,848"
Funny Bones,"Mar 31, 1995",Comedy,R,"$529,135","121,640"
The Pagemaster,"Nov 23, 1994",Adventure,G,"$519,284","119,375"
The Wild Bunch,"Jun 18, 1969",Western,R,"$509,424","117,108"
Lamerica,"Dec 20, 1995",Drama,Not Rated,"$494,095","113,585"
Clerks,"Oct 19, 1994",Comedy,R,"$481,383","110,662"
Party Girl,"Jun 9, 1995",Romantic Comedy,R,"$472,370","108,590"
A Pyromaniac’s Love Story,"Mar 28, 1995",Romantic Comedy,PG,"$468,240","107,641"
Safe,"Jun 23, 1995",Drama,R,"$465,498","107,011"
Nadja,"Aug 25, 1995",Horror,R,"$446,934","102,743"
A Man of No Importance,"Dec 22, 1994",Drama,R,"$427,308","98,231"
3 Ninjas Knuckle Up,"Apr 7, 1995",Action,PG-13,"$407,618","93,705"
The Adventures of Priscilla…,"Aug 10, 1994",Comedy,R,"$402,962","92,634"
Gospa,"Oct 13, 1995",Drama,PG,"$381,000","87,586"
Swimming with Sharks,"Apr 21, 1995",Comedy,R,"$376,928","86,650"
Empire Records,"Sep 22, 1995",Comedy,PG-13,"$303,841","69,848"
La cité des enfants perdus,"Dec 15, 1995",Thriller/Suspense,R,"$279,590","64,273"
Lie Down with Dogs,"Jun 30, 1995",Comedy,R,"$240,280","55,236"
Georgia,"Dec 8, 1995",Drama,R,"$215,009","49,427"
Things to Do in Denver when…,"Dec 1, 1995",Black Comedy,R,"$196,137","45,088"
Mr. Payback: An Interactive…,"Feb 17, 1995",Comedy,PG-13,"$144,961","33,324"
Last Summer in the Hamptons,"Nov 21, 1995",Comedy,R,"$138,528","31,845"
Jason's Lyric,"Sep 28, 1994",Drama,R,"$133,815","30,762"
Mr. Holland’s Opus,"Dec 29, 1995",Drama,PG,"$131,816","30,302"
Milk Money,"Aug 31, 1994",Romantic Comedy,PG-13,"$125,013","28,738"
The Stars Fell on Henrietta,"Sep 15, 1995",Drama,PG,"$99,318","22,831"
Erotique,"Jan 20, 1995",Drama,R,"$57,595","13,240"
Pharaoh's Army,"Nov 9, 1995",Western,PG-13,"$50,652","11,644"
Color of Night,"Aug 19, 1994",Thriller/Suspense,R,"$24,420","5,613"
Coldblooded,"Sep 15, 1995",Comedy,R,"$16,198","3,723"
Independence Day,"Jul 2, 1996",Adventure,PG-13,"$306,169,255","69,269,062"
The Rock,"Jun 7, 1996",Action,R,"$134,069,511","30,332,468"
Phenomenon,"Jul 5, 1996",Drama,PG,"$104,539,127","23,651,386"
Eraser,"Jun 21, 1996",Action,R,"$101,295,562","22,917,547"
Space Jam,"Nov 15, 1996",Adventure,PG,"$85,442,296","19,330,836"
Jerry Maguire,"Dec 13, 1996",Romantic Comedy,R,"$83,338,125","18,854,779"
Mr. Holland’s Opus,"Dec 29, 1995",Drama,PG,"$82,450,788","18,654,024"
Broken Arrow,"Feb 9, 1996",Action,R,"$70,645,997","15,983,257"
The Cable Guy,"Jun 14, 1996",Black Comedy,PG-13,"$60,240,295","13,629,026"
Courage Under Fire,"Jul 12, 1996",Drama,R,"$59,003,384","13,349,181"
Jack,"Aug 9, 1996",Drama,PG-13,"$58,554,258","13,247,569"
Jingle All the Way,"Nov 22, 1996",Comedy,PG,"$57,213,524","12,944,236"
Executive Decision,"Mar 15, 1996",Thriller/Suspense,R,"$56,679,192","12,823,346"
Tin Cup,"Aug 16, 1996",Romantic Comedy,R,"$53,854,588","12,184,295"
Michael,"Dec 25, 1996",Comedy,PG,"$52,733,564","11,930,670"
Dragonheart,"May 31, 1996",Adventure,PG-13,"$51,364,680","11,620,968"
Toy Story,"Nov 22, 1995",Adventure,G,"$41,648,011","9,422,626"
The Mirror Has Two Faces,"Nov 15, 1996",Romantic Comedy,PG-13,"$40,767,613","9,223,441"
Grumpier Old Men,"Dec 22, 1995",Romantic Comedy,PG-13,"$40,750,991","9,219,681"
Scream,"Dec 20, 1996",Horror,R,"$39,129,829","8,852,902"
Happy Gilmore,"Feb 16, 1996",Comedy,PG-13,"$38,623,460","8,738,339"
A Thin Line Between Love & …,"Apr 3, 1996",Romantic Comedy,R,"$34,873,513","7,889,935"
Set It Off,"Nov 6, 1996",Drama,R,"$34,639,061","7,836,891"
The Truth About Cats & Dogs,"Apr 26, 1996",Romantic Comedy,PG-13,"$34,084,531","7,711,432"
The Long Kiss Goodnight,"Oct 11, 1996",Action,R,"$33,149,649","7,499,920"
Black Sheep,"Feb 2, 1996",Comedy,PG-13,"$32,330,354","7,314,559"
One Fine Day,"Dec 20, 1996",Romantic Comedy,PG,"$32,304,048","7,308,608"
Rumble in the Bronx,"Feb 23, 1996",Action,R,"$32,281,907","7,303,598"
Eddie,"May 31, 1996",Comedy,PG-13,"$31,369,401","7,097,149"
Heat,"Dec 15, 1995",Drama,R,"$30,928,683","6,997,439"
Daylight,"Dec 6, 1996",Action,PG-13,"$29,156,655","6,596,528"
Spy Hard,"May 24, 1996",Comedy,PG-13,"$26,936,265","6,094,177"
First Kid,"Aug 30, 1996",Adventure,PG,"$26,299,656","5,950,148"
From Dusk Till Dawn,"Jan 19, 1996",Horror,R,"$25,728,961","5,821,031"
Down Periscope,"Mar 1, 1996",Comedy,PG-13,"$25,723,977","5,819,904"
That Thing You Do!,"Oct 4, 1996",Comedy,PG,"$25,680,349","5,810,033"
Escape from L.A.,"Aug 9, 1996",Action,R,"$25,426,861","5,752,683"
Kingpin,"Jul 26, 1996",Comedy,R,"$25,023,424","5,661,408"
The Craft,"May 3, 1996",Horror,R,"$24,769,466","5,603,951"
Fargo,"Mar 8, 1996",Thriller/Suspense,R,"$24,035,883","5,437,982"
D3: The Mighty Ducks,"Oct 4, 1996",Comedy,PG,"$22,491,695","5,088,618"
The Quest,"Apr 26, 1996",Action,PG-13,"$21,607,190","4,888,504"
Chain Reaction,"Aug 2, 1996",Thriller/Suspense,PG-13,"$21,226,204","4,802,308"
Bulletproof,"Sep 6, 1996",Action,R,"$21,195,840","4,795,438"
High School High,"Oct 25, 1996",Comedy,PG-13,"$20,883,060","4,724,674"
Fear,"Apr 12, 1996",Thriller/Suspense,R,"$20,694,623","4,682,041"
The Glimmer Man,"Oct 4, 1996",Action,R,"$20,404,841","4,616,479"
City Hall,"Feb 16, 1996",Drama,R,"$20,278,055","4,587,795"
Don't Be a Menace to South …,"Jan 12, 1996",Comedy,R,"$19,674,813","4,451,315"
Bed of Roses,"Jan 26, 1996",Drama,PG,"$18,972,237","4,292,361"
Kazaam,"Jul 17, 1996",Comedy,PG,"$18,880,508","4,271,608"
Last Man Standing,"Sep 20, 1996",Action,R,"$18,115,927","4,098,626"
My Fellow Americans,"Dec 20, 1996",Comedy,PG-13,"$18,042,099","4,081,922"
Fled,"Jul 19, 1996",Action,R,"$17,192,205","3,889,639"
The Frighteners,"Jul 19, 1996",Horror,R,"$16,553,635","3,745,166"
Supercop,"Jul 26, 1996",Action,R,"$16,270,600","3,681,131"
Flirting with Disaster,"Mar 22, 1996",Comedy,R,"$14,853,474","3,360,514"
The Substitute,"Apr 19, 1996",Thriller/Suspense,R,"$14,675,167","3,320,173"
Maximum Risk,"Sep 13, 1996",Action,R,"$14,102,929","3,190,707"
The Arrival,"May 31, 1996",Thriller/Suspense,PG-13,"$14,031,906","3,174,639"
Bio-Dome,"Jan 12, 1996",Comedy,PG-13,"$13,294,762","3,007,864"
Se7en,"Sep 22, 1995",Thriller/Suspense,R,"$13,011,868","2,943,861"
Lone Star,"Jun 21, 1996",Drama,R,"$12,928,474","2,924,994"
Mr. Wrong,"Feb 16, 1996",Romantic Comedy,PG-13,"$12,805,071","2,897,074"
Il Postino,"Jun 14, 1995",Drama,PG,"$12,786,292","2,892,826"
The Spitfire Grill,"Aug 23, 1996",Drama,PG-13,"$12,592,203","2,848,914"
Alaska,"Aug 14, 1996",Adventure,PG,"$11,509,600","2,603,981"
Mulholland Falls,"Apr 26, 1996",Drama,R,"$11,504,190","2,602,757"
Big Night,"Sep 20, 1996",Drama,R,"$11,457,795","2,592,261"
2 Days In The Valley,"Sep 27, 1996",Drama,R,"$11,101,856","2,511,732"
Beautiful Girls,"Feb 9, 1996",Comedy,R,"$10,523,880","2,380,968"
Two if by Sea,"Jan 12, 1996",Romantic Comedy,R,"$10,493,670","2,374,133"
Sunset Park,"Apr 26, 1996",Drama,R,"$10,128,314","2,291,473"
A Family Thing,"Mar 29, 1996",Drama,PG-13,"$9,993,012","2,260,862"
She's the One,"Aug 23, 1996",Romantic Comedy,R,"$9,482,579","2,145,379"
Dunston Checks In,"Jan 12, 1996",Comedy,PG,"$9,419,316","2,131,066"
Celtic Pride,"Apr 19, 1996",Comedy,PG-13,"$9,240,378","2,090,583"
The American President,"Nov 17, 1995",Romantic Comedy,PG-13,"$8,954,209","2,025,839"
All Dogs Go To Heaven 2,"Mar 29, 1996",Adventure,G,"$8,556,572","1,935,876"
The Rich Man’s Wife,"Sep 13, 1996",Thriller/Suspense,R,"$8,538,318","1,931,746"
Larger Than Life,"Nov 1, 1996",Comedy,PG,"$8,295,903","1,876,901"
The Great White Hype,"May 3, 1996",Comedy,R,"$7,852,282","1,776,534"
Wings of Courage,"Apr 21, 1995",Drama,G,"$6,918,899","1,565,361"
House Arrest,"Aug 14, 1996",Comedy,PG,"$6,906,987","1,562,666"
Dear God,"Nov 1, 1996",Comedy,PG,"$6,899,612","1,560,998"
Sudden Death,"Dec 22, 1995",Action,R,"$6,747,130","1,526,500"
Across The Sea of Time,"Oct 20, 1995",Adventure,G,"$6,682,383","1,511,851"
Secrets & Lies,"Sep 28, 1996",Drama,R,"$6,237,238","1,411,139"
Last Dance,"May 3, 1996",Drama,R,"$5,857,534","1,325,233"
The Pallbearer,"May 3, 1996",Romantic Comedy,PG-13,"$5,656,388","1,279,725"
Girl 6,"Mar 22, 1996",Black Comedy,R,"$4,880,941","1,104,285"
Balto,"Dec 22, 1995",Adventure,G,"$4,622,620","1,045,841"
Stealing Beauty,"Jun 14, 1996",Drama,R,"$4,573,330","1,034,690"
Bogus,"Sep 6, 1996",Comedy,PG,"$4,357,406","985,838"
Welcome to the Dollhouse,"May 10, 1996",Black Comedy,R,"$4,198,137","949,804"
Swingers,"Oct 18, 1996",Comedy,R,"$4,088,252","924,943"
Antonia,"Feb 9, 1996",Drama,R,"$4,047,426","915,707"
Ace Ventura: When Nature Calls,"Nov 10, 1995",Comedy,PG-13,"$3,988,567","902,390"
Ed,"Mar 15, 1996",Comedy,PG,"$3,956,785","895,200"
Bound,"Oct 4, 1996",Thriller/Suspense,R,"$3,802,260","860,239"
Carpool,"Aug 23, 1996",Comedy,PG,"$3,325,651","752,409"
Original Gangstas,"May 10, 1996",Action,R,"$3,279,266","741,915"
Feeling Minnesota,"Sep 13, 1996",Drama,R,"$3,124,440","706,886"
Cutthroat Island,"Dec 22, 1995",Adventure,PG-13,"$2,617,537","592,202"
Unforgettable,"Feb 23, 1996",Thriller/Suspense,R,"$2,483,790","561,943"
If Lucy Fell,"Mar 8, 1996",Romantic Comedy,R,"$2,410,162","545,285"
Lawnmower Man 2: Beyond Cyb…,"Jan 12, 1996",Action,PG-13,"$2,396,302","542,149"
Dracula: Dead and Loving It,"Dec 22, 1995",Comedy,PG-13,"$2,357,406","533,349"
Big Bully,"Jan 26, 1996",Comedy,PG,"$2,042,530","462,110"
It Takes Two,"Nov 17, 1995",Comedy,PG,"$2,006,420","453,941"
Four Rooms,"Dec 25, 1995",Black Comedy,R,"$1,697,156","383,971"
Race the Sun,"Mar 22, 1996",Drama,PG,"$1,681,685","380,471"
Ridicule,"Nov 29, 1996",Drama,R,"$1,582,546","358,042"
Kansas City,"Aug 16, 1996",Drama,R,"$1,353,824","306,295"
Mighty Aphrodite,"Oct 27, 1995",Comedy,R,"$1,349,253","305,260"
Breaking the Waves,"Nov 13, 1996",Drama,R,"$1,328,006","300,453"
Walking and Talking,"Jul 17, 1996",Romantic Comedy,R,"$1,287,480","291,285"
Phat Beach,"Aug 2, 1996",Comedy,R,"$1,263,945","285,960"
Nueba Yol,"Feb 14, 1996",Drama,Not Rated,"$1,229,715","278,216"
The Funeral,"Nov 1, 1996",Drama,R,"$1,212,799","274,388"
Un indien dans la ville,"Mar 22, 1996",Adventure,PG,"$1,029,731","232,970"
Dead Man,"May 10, 1996",Western,R,"$1,025,488","232,010"
La cité des enfants perdus,"Dec 15, 1995",Thriller/Suspense,R,"$1,000,856","226,438"
Badkonake sefid,"Jan 26, 1996",Drama,Not Rated,"$888,894","201,107"
Gazon maudit,"Jan 12, 1996",Comedy,R,"$888,044","200,914"
Powder,"Oct 27, 1995",Drama,PG-13,"$872,570","197,414"
Heavy,"Jun 5, 1996",Drama,R,"$852,362","192,842"
Assassins,"Oct 6, 1995",Action,R,"$818,094","185,089"
Trees Lounge,"Oct 11, 1996",Drama,R,"$749,741","169,624"
Bloodsport 2,"Mar 1, 1996",Action,R,"$684,351","154,830"
Les Visiteurs,"Jul 12, 1996",Comedy,R,"$659,000","149,095"
La flor de mi secreto,"Mar 8, 1996",Drama,R,"$653,723","147,901"
Georgia,"Dec 8, 1995",Drama,R,"$645,939","146,140"
Money Train,"Nov 22, 1995",Action,R,"$645,715","146,089"
Grace of My Heart,"Sep 13, 1996",Drama,R,"$617,632","139,735"
Copycat,"Oct 27, 1995",Thriller/Suspense,R,"$615,023","139,145"
Now and Then,"Oct 20, 1995",Drama,PG-13,"$586,693","132,735"
Mother,"Dec 25, 1996",Comedy,PG-13,"$577,391","130,631"
Le confessionnal,"Aug 16, 1996",Drama,Not Rated,"$575,001","130,090"
Il Mostro,"Apr 19, 1996",Comedy,R,"$569,901","128,936"
Ma saison préfélrée,"Apr 19, 1996",Drama,Not Rated,"$555,900","125,769"
Vampire in Brooklyn,"Oct 27, 1995",Horror,R,"$522,351","118,178"
Last Summer in the Hamptons,"Nov 21, 1995",Comedy,R,"$510,271","115,445"
The Last Supper,"Apr 5, 1996",Comedy,R,"$459,749","104,015"
It's My Party,"Mar 22, 1996",Drama,R,"$455,101","102,964"
The Usual Suspects,"Aug 16, 1995",Drama,R,"$381,812","86,382"
Taxi Driver,"Feb 8, 1976",Drama,R,"$378,678","85,673"
Things to Do in Denver when…,"Dec 1, 1995",Black Comedy,R,"$333,629","75,481"
Chung hing sam lam,"Mar 8, 1996",Drama,PG-13,"$332,003","75,113"
Freeway,"Aug 23, 1996",Comedy,R,"$295,493","66,853"
A Midwinter's Tale,"Feb 9, 1996",Comedy,R,"$288,122","65,185"
Everyone Says I Love You,"Dec 6, 1996",Musical,R,"$284,487","64,363"
Les voleurs,"Dec 25, 1996",Drama,R,"$247,299","55,950"
L'uomo delle stelle,"Mar 8, 1996",Drama,R,"$222,613","50,364"
Jack & Sarah,"Mar 22, 1996",Romantic Comedy,PG,"$218,626","49,462"
Santa with Muscles,"Nov 8, 1996",Comedy,PG,"$198,717","44,958"
Getting Away with Murder,"Apr 12, 1996",Comedy,R,"$197,322","44,642"
Nick of Time,"Nov 22, 1995",Thriller/Suspense,R,"$173,223","39,190"
Someone Else's America,"May 10, 1996",Comedy,R,"$154,873","35,039"
Mad Dog Time,"Nov 8, 1996",Comedy,R,"$80,026","18,105"
Dead Presidents,"Oct 4, 1995",Drama,R,"$58,418","13,216"
Switchblade Sisters,"Jun 14, 1996",Action,R,"$41,058","9,289"
When Night is Falling,"Nov 17, 1995",Drama,R,"$40,155","9,084"
Adrenalin: Fear the Rush,"Dec 6, 1996",Action,R,"$37,536","8,492"
Lamerica,"Dec 20, 1995",Drama,Not Rated,"$29,612","6,699"
